Size (kW),recip_engine,micro_turbine,combustion_turbine,fuel_cell
30,0.296,0.236,N/A,0.425
60,N/A,0.244,N/A,N/A
100,0.297,N/A,N/A,N/A
190,N/A,0.283,N/A,N/A
320,N/A,0.287,N/A,0.425
630,0.345,N/A,N/A,N/A
950,N/A,0.284,0.21,N/A
1140,0.371,N/A,N/A,N/A
1290,N/A,0.293,N/A,N/A
1400,N/A,N/A,N/A,0.425
1800,N/A,N/A,0.226,N/A
3300,0.409,N/A,0.237,N/A
5400,N/A,N/A,0.270,N/A
7500,N/A,N/A,0.292,N/A
9300,0.42,N/A,N/A,0.425
14000,N/A,N/A,0.3,N/A
20000,N/A,N/A,0.331,N/A
