Size (kW),recip_engine,micro_turbine,combustion_turbine,fuel_cell
30,0.0,0.0,N/A,0.0
60,N/A,0.0,N/A,N/A
100,0.0,N/A,N/A,N/A
190,N/A,0.0,N/A,N/A
320,N/A,0.0,N/A,0.0
630,0.182,N/A,N/A,N/A
950,N/A,0.0,0.435,N/A
1140,0.155,N/A,N/A,N/A
1290,N/A,0.0,N/A,N/A
1400,N/A,N/A,N/A,0.0
1800,N/A,N/A,0.489,N/A
3300,0.133,N/A,0.413,N/A
5400,N/A,N/A,0.437,N/A
7500,N/A,N/A,0.414,N/A
9300,0.122,N/A,N/A,0.0
14000,N/A,N/A,0.402,N/A
20000,N/A,N/A,0.367,N/A
