Size (kW),recip_engine,micro_turbine,combustion_turbine,fuel_cell
30,0.5,0.485,N/A,N/A
60,N/A,0.462,N/A,N/A
100,0.532,N/A,N/A,N/A
190,N/A,0.393,N/A,N/A
320,N/A,0.378,N/A,N/A
440,N/A,N/A,N/A,0.206
630,0.453,N/A,N/A,N/A
950,N/A,0.376,0.475,N/A
1140,0.43,N/A,N/A,N/A
1290,N/A,0.376,N/A,N/A
1400,N/A,N/A,N/A,0.265
1800,N/A,N/A,0.538,N/A
3300,0.386,N/A,0.458,N/A
5400,N/A,N/A,0.481,N/A
7500,N/A,N/A,0.455,N/A
9300,0.35,N/A,N/A,0.265
14000,N/A,N/A,0.442,N/A
20000,N/A,N/A,0.408,N/A
