Size (kW),recip_engine,micro_turbine,combustion_turbine,fuel_cell
30,0.5,0.474,N/A,0.328
60,N/A,0.465,N/A,N/A
100,0.532,N/A,N/A,N/A
190,N/A,0.38,N/A,N/A
320,N/A,0.416,N/A,0.328
630,0.453,N/A,N/A,N/A
950,N/A,0.366,0.432,N/A
1140,0.43,N/A,N/A,N/A
1400,N/A,N/A,N/A,0.323
1800,N/A,N/A,0.489,N/A
3300,0.386,N/A,0.414,N/A
5400,N/A,N/A,0.437,N/A
7500,N/A,N/A,0.413,N/A
9300,0.35,N/A,N/A,0.323
14000,N/A,N/A,0.402,N/A
20000,N/A,N/A,0.369,N/A
